,approved,date,duration,module,Year,progress,type,Marks,Student,Supervisor
0,0.0,2017-11-22,,mcm,2018,satisfactory,approval,66.0,4.0,17.0
1,1.0,2017-12-07,,mcm,2018,satisfactory,approval,66.0,4.0,17.0
2,,2018-02-20,,mcm,2018,satisfactory,meeting,66.0,4.0,17.0
3,,2018-07-13,,mcm,2018,satisfactory,meeting,66.0,4.0,17.0
4,1.0,2018-01-23,,mcm,2018,satisfactory,approval,58.0,14.0,41.0
5,,2018-03-21,10.0,mcm,2018,satisfactory,meeting,58.0,14.0,41.0
6,0.0,2017-12-04,,mcm,2018,satisfactory,approval,58.0,14.0,41.0
7,1.0,2018-03-13,,mcm,2018,satisfactory,approval,58.0,66.0,27.0
8,,2018-03-13,,mcm,2018,moderate,meeting,58.0,66.0,27.0
9,,2018-07-10,,mcm,2018,moderate,meeting,58.0,66.0,27.0
10,,2018-08-03,,mcm,2018,satisfactory,meeting,58.0,66.0,27.0
11,0.0,2018-03-01,,mcm,2018,satisfactory,approval,58.0,66.0,27.0
12,,2018-07-12,,mcm,2018,unsatisfactory,meeting,58.0,66.0,27.0
13,,2018-04-25,,mcm,2018,satisfactory,meeting,58.0,66.0,27.0
14,0.0,2018-03-01,,mcm,2018,satisfactory,approval,58.0,66.0,27.0
15,,2018-02-08,30.0,mcm,2018,moderate,meeting,40.0,79.0,5.0
16,,2018-02-08,15.0,mcm,2018,moderate,meeting,40.0,79.0,5.0
17,,2018-02-08,45.0,mcm,2018,moderate,meeting,40.0,79.0,5.0
18,,2018-02-15,30.0,mcm,2018,moderate,meeting,40.0,79.0,5.0
19,,2018-04-12,50.0,mcm,2018,moderate,meeting,40.0,79.0,5.0
20,,2018-05-18,20.0,mcm,2018,moderate,meeting,40.0,79.0,5.0
21,,2018-05-08,30.0,mcm,2018,unsatisfactory,meeting,40.0,79.0,5.0
22,1.0,2017-12-04,,mcm,2018,satisfactory,approval,35.0,109.0,45.0
23,,2018-07-24,,mcm,2018,moderate,meeting,40.0,79.0,5.0
24,,2018-02-08,,mcm,2018,satisfactory,meeting,35.0,109.0,45.0
25,,2018-04-02,,mcm,2018,satisfactory,meeting,35.0,109.0,45.0
26,,2018-04-26,,mcm,2018,satisfactory,meeting,35.0,109.0,45.0
27,,2018-06-14,,mcm,2018,satisfactory,meeting,35.0,109.0,45.0
28,,2018-07-30,,mcm,2018,satisfactory,meeting,35.0,109.0,45.0
29,1.0,2017-12-04,,mcm,2018,satisfactory,approval,,,60.0
30,,2017-11-23,5.0,mcm,2018,satisfactory,meeting,,,60.0
31,,2017-11-30,1.0,mcm,2018,satisfactory,meeting,,,60.0
32,,2018-02-06,,mcm,2018,moderate,meeting,,,60.0
33,,2018-04-05,20.0,mcm,2018,moderate,meeting,,,60.0
34,1.0,2017-12-04,,mcm,2018,satisfactory,approval,41.0,130.0,45.0
35,,2018-02-08,,mcm,2018,moderate,meeting,41.0,130.0,45.0
36,,2018-04-02,,mcm,2018,moderate,meeting,41.0,130.0,45.0
37,,2018-04-26,,mcm,2018,moderate,meeting,41.0,130.0,45.0
38,,2018-06-14,,mcm,2018,moderate,meeting,41.0,130.0,45.0
39,,2018-07-25,,mcm,2018,moderate,meeting,41.0,130.0,45.0
40,1.0,2017-12-04,,mcm,2018,satisfactory,approval,49.0,131.0,32.0
41,,2017-11-23,30.0,mcm,2018,satisfactory,meeting,49.0,131.0,32.0
42,,2017-12-18,30.0,mcm,2018,satisfactory,meeting,49.0,131.0,32.0
43,,2017-12-21,30.0,mcm,2018,satisfactory,meeting,49.0,131.0,32.0
44,,2018-02-07,30.0,mcm,2018,satisfactory,meeting,49.0,131.0,32.0
45,,2018-02-22,30.0,mcm,2018,moderate,meeting,49.0,131.0,32.0
46,,2018-03-08,30.0,mcm,2018,moderate,meeting,49.0,131.0,32.0
47,,2018-03-20,30.0,mcm,2018,moderate,meeting,49.0,131.0,32.0
48,,2018-04-30,30.0,mcm,2018,moderate,meeting,49.0,131.0,32.0
49,,2018-05-08,10.0,mcm,2018,satisfactory,meeting,49.0,131.0,32.0
50,,2018-05-21,30.0,mcm,2018,satisfactory,meeting,49.0,131.0,32.0
51,,2018-07-09,30.0,mcm,2018,moderate,meeting,49.0,131.0,32.0
52,,2017-10-26,,mcm,2018,satisfactory,meeting,73.0,141.0,33.0
53,,2017-11-02,,mcm,2018,satisfactory,meeting,73.0,141.0,33.0
54,,2017-11-09,,mcm,2018,satisfactory,meeting,73.0,141.0,33.0
55,,2017-11-23,,mcm,2018,satisfactory,meeting,73.0,141.0,33.0
56,,2017-12-14,,mcm,2018,satisfactory,meeting,73.0,141.0,33.0
57,,2018-02-08,,mcm,2018,satisfactory,meeting,73.0,141.0,33.0
58,,2018-02-20,,mcm,2018,satisfactory,meeting,73.0,141.0,33.0
59,,2018-03-08,,mcm,2018,satisfactory,meeting,73.0,141.0,33.0
60,,2018-04-24,,mcm,2018,satisfactory,meeting,73.0,141.0,33.0
61,,2018-05-31,,mcm,2018,satisfactory,meeting,73.0,141.0,33.0
62,,2018-06-26,,mcm,2018,satisfactory,meeting,73.0,141.0,33.0
63,,2018-07-12,,mcm,2018,satisfactory,meeting,73.0,141.0,33.0
64,,2018-08-07,,mcm,2018,satisfactory,meeting,73.0,141.0,33.0
65,,2018-08-21,,mcm,2018,satisfactory,meeting,73.0,141.0,33.0
66,1.0,2017-12-04,,mcm,2018,satisfactory,approval,73.0,141.0,33.0
67,,2017-11-02,,mcm,2018,satisfactory,meeting,66.0,165.0,33.0
68,,2017-11-16,,mcm,2018,satisfactory,meeting,66.0,165.0,33.0
69,,2017-12-05,,mcm,2018,satisfactory,meeting,66.0,165.0,33.0
70,,2018-03-15,,mcm,2018,satisfactory,meeting,66.0,165.0,33.0
71,,2018-05-31,,mcm,2018,satisfactory,meeting,66.0,165.0,33.0
72,,2018-06-26,,mcm,2018,satisfactory,meeting,66.0,165.0,33.0
73,,2018-07-05,,mcm,2018,satisfactory,meeting,66.0,165.0,33.0
74,,2018-07-12,,mcm,2018,satisfactory,meeting,66.0,165.0,33.0
75,,2018-08-08,,mcm,2018,satisfactory,meeting,66.0,165.0,33.0
76,,2018-08-26,,mcm,2018,satisfactory,meeting,66.0,165.0,33.0
77,0.0,2017-12-04,,mcm,2018,satisfactory,approval,66.0,165.0,33.0
78,1.0,2018-02-12,,mcm,2018,satisfactory,approval,66.0,165.0,33.0
79,1.0,2018-02-12,,mcm,2018,satisfactory,approval,66.0,165.0,33.0
80,,2017-10-18,,mcm,2018,satisfactory,meeting,70.0,169.0,6.0
81,,2018-02-13,45.0,mcm,2018,satisfactory,meeting,70.0,169.0,6.0
82,,2018-04-10,45.0,mcm,2018,satisfactory,meeting,70.0,169.0,6.0
83,,2018-07-06,,mcm,2018,satisfactory,meeting,70.0,169.0,6.0
84,1.0,2017-12-04,,mcm,2018,satisfactory,approval,70.0,169.0,6.0
85,1.0,2017-12-07,,mcm,2018,satisfactory,approval,72.0,213.0,62.0
86,,2018-03-12,,mcm,2018,satisfactory,meeting,72.0,213.0,62.0
87,,2018-07-18,,mcm,2018,satisfactory,meeting,72.0,213.0,62.0
88,,2017-11-01,,mcm,2018,satisfactory,meeting,72.0,213.0,62.0
89,,2018-02-20,,mcm,2018,satisfactory,meeting,76.0,216.0,4.0
90,,2018-02-15,30.0,mcm,2018,satisfactory,meeting,76.0,216.0,4.0
91,,2018-07-05,30.0,mcm,2018,moderate,meeting,76.0,216.0,4.0
92,,2018-08-09,60.0,mcm,2018,moderate,meeting,76.0,216.0,4.0
93,1.0,2017-12-07,,mcm,2018,satisfactory,approval,61.0,222.0,6.0
94,,2017-11-01,,mcm,2018,satisfactory,meeting,61.0,222.0,6.0
95,,2017-12-07,,mcm,2018,satisfactory,meeting,61.0,222.0,6.0
96,,2018-04-29,0.0,mcm,2018,satisfactory,meeting,61.0,222.0,6.0
97,,2018-04-29,,mcm,2018,satisfactory,meeting,61.0,222.0,6.0
98,,2018-07-06,,mcm,2018,satisfactory,meeting,61.0,222.0,6.0
99,,2018-02-13,,mcm,2018,satisfactory,meeting,70.0,286.0,58.0
100,,2018-03-16,,mcm,2018,satisfactory,meeting,70.0,286.0,58.0
101,,2018-05-28,,mcm,2018,satisfactory,meeting,70.0,286.0,58.0
102,,2018-07-02,,mcm,2018,satisfactory,meeting,70.0,286.0,58.0
103,,2018-07-23,25.0,mcm,2018,satisfactory,meeting,70.0,286.0,58.0
104,1.0,2017-12-04,,mcm,2018,satisfactory,approval,70.0,286.0,58.0
105,1.0,2017-12-07,,mcm,2018,satisfactory,approval,86.0,324.0,27.0
106,,2018-02-08,,mcm,2018,satisfactory,meeting,86.0,324.0,27.0
107,0.0,2017-12-07,,mcm,2018,satisfactory,approval,86.0,324.0,27.0
108,,2018-02-15,,mcm,2018,satisfactory,meeting,86.0,324.0,27.0
109,,2018-03-13,,mcm,2018,satisfactory,meeting,86.0,324.0,27.0
110,,2018-03-13,,mcm,2018,satisfactory,meeting,86.0,324.0,27.0
111,,2018-03-27,,mcm,2018,satisfactory,meeting,86.0,324.0,27.0
